Hour,Load (kW)
537,2776.151484918498
538,2810.896597483748
539,2838.2747009585014
540,2831.4264106757514
541,2824.123986514253
542,2777.8499776745
543,2751.4811682452496
544,2719.967711618498
545,2666.3330153187476
546,2647.690010230249
547,2686.5841713780023
548,2642.4138921387503
549,2630.5935204719985
550,2623.9254471769987
551,2573.1178254657516
552,2559.4285813127476
553,2565.9765578509987
554,2571.314804413752
555,2584.509981001252
556,2595.5850420797483
557,2622.7915102535007
558,2668.973685039002
559,2766.246572952002
560,2904.5939172089993
561,2905.163357444251
562,2914.740419331247
563,2932.8196701005004
564,2920.429180094752
565,2916.1799314019977
566,2867.362493267
567,2835.214287262999
568,2804.538912162748
569,2749.537733476749
570,2730.6863511442507
571,2774.0235987177502
572,2737.8282968265003
573,2725.145387650252
574,2717.504261370751
575,2672.0775060492497
576,2655.8673971062512
577,2663.8158198245
578,2665.4963035285
579,2678.682262858497
580,2688.277033030249
581,2721.5355901750017
582,2780.285669730746
583,2874.3105413895037
584,3008.4902894117504
585,3005.6487175555003
586,3015.8774068584976
587,3035.1282050957484
588,3011.1765167777494
589,3002.197257910751
590,2953.8804239307515
591,2919.352953434002
592,2891.6344666855
593,2845.4596923305003
594,2826.9545772482484
595,2869.2565970547475
596,2828.532224865
597,2816.6239983074997
598,2808.167883155
599,2765.880152222251
600,2748.4623109067497
601,2752.5914545900027
602,2759.104961370997
603,2769.549266761249
604,2780.1985346889996
605,2807.998359715002
606,2862.118505101751
607,2958.6888837097513
608,3088.4548836794984
609,3093.556085703999
610,3103.850552333247
611,3111.188139184751
612,3101.8393643602526
613,3094.066446073999
614,3044.71204137275
615,3016.992710301504
616,2989.483370058501
617,2933.9870214982484
618,2917.487205369
619,2957.4778201389986
620,2917.5256419844995
621,2904.6346574462514
622,2894.8211080915016
623,2855.8657867507513
624,2837.1486474510016
625,2856.48232532
626,2793.4639568722478
627,2786.2305982185007
628,2790.2569885820026
629,2800.402864918497
630,2807.2213468249993
631,2844.6617526860027
632,2908.3682117367516
633,2856.190617580002
634,2832.2181555812476
635,2838.195232445747
636,2849.374953752503
637,2861.378657053749
638,2867.457227084252
639,2866.461220871752
640,2859.0562100444995
641,2859.388892887499
642,2887.8818091489998
643,2954.0425390432492
644,2963.7370311654995
645,2971.6261219042512
646,2959.7920865617484
647,2916.073779659998
648,2904.1045170957495
649,2887.8997838477485
650,2865.2405921590002
651,2869.56658494225
652,2877.7885174214975
653,2892.050346156246
654,2902.508370624752
655,2918.4073246512544
656,2983.6836722447492
657,2919.434124797251
658,2914.6888294432497
659,2914.271728417248
660,2923.576132403001
661,2931.0391931152503
662,2940.1726839675025
663,2943.3023282592526
664,2944.67968639975
665,2948.7586957272533
666,2975.394319613999
667,3042.400977346501
668,3037.7090086832513
669,3034.12579713425
670,3027.9540637275013
671,2985.284159956751
672,2977.5875782305015
673,2970.232197139499
674,3053.2847544112497
675,3064.432425304751
676,3070.8890790062505
677,3093.5304511182494
678,3141.5129994272497
679,3233.4981926264995
680,3360.3050785872524
681,3364.3617616517513
682,3395.283513996499
683,3425.485477163251
684,3416.96608123375
685,3408.7447797667514
686,3360.416881170748
687,3331.6932918399993
688,3299.854779374249
689,3243.151127620247
690,3224.5369987595
691,3263.253854767252
692,3220.7610205182477
693,3210.8525172615005
694,3204.538835303001
695,3151.8725194474973
696,3137.673546239249
697,3148.625828002002
698,3163.1823293477487
699,3172.938428001752
700,3185.1979034895007
701,3212.6560241864986
702,3266.7269387837487
703,3358.864115680252
704,3501.056395608249
705,3495.489624398999
706,3508.59538825225
707,3528.2024156642497
708,3509.2194924994997
709,3497.398561439502
710,3447.57289814575
711,3414.2405843042516
712,3385.3325305695002
713,3338.8478135515
714,3305.8027877362492
715,3363.589661467498
716,3323.987178755753
717,3315.5655113107487
718,3304.7200978047476
719,3254.824185152252
720,3238.0314574589997
721,3244.5898242735016
722,3255.2266648222503
723,3263.8712164769995
724,3276.5076749472496
725,3307.868728203501
726,3370.4850330135005
727,3454.1625231702506
728,3583.521301640747
729,3585.284258753252
730,3594.806344712749
731,3611.8768858759977
732,3592.397716481251
733,3581.38990391375
734,3530.5435110707526
735,3497.342424598251
736,3467.3559818672475
737,3417.4158468625014
738,3381.8714941274993
739,3438.4730867822495
740,3399.311860970998
741,3390.748738211002
742,3380.300990272503
743,3338.7473609545
744,3323.830042954503
745,3325.1638897119988
746,3331.9512864120034
747,3342.6255202969996
748,3354.99954212225
749,3391.7490262380006
750,3456.658537640501
751,3542.8241246120015
752,3678.571281771001
753,3683.685042283501
754,3708.9704052384973
755,3729.9405588605005
756,3713.5458886937513
757,3700.3977582275015
758,3643.4427185392487
759,3612.402368080999
760,3583.8388284200005
761,3537.8721907132494
762,3507.9613438279976
763,3566.0110424527497
764,3524.9393770707475
765,3513.187483744502
766,3500.8526781042524
767,3445.1727287575013
768,3441.3235585695
769,3444.2189364180012
770,3450.7252540239983
771,3459.3933602257516
772,3469.686618441499
773,3495.2062210757504
774,3541.7847905389995
775,3635.8125400512527
776,3784.8445002744993
777,3775.686351726999
778,3795.4947507734996
779,3821.6808926134972
780,3802.788381880251
781,3790.8685341365017
782,3738.6826018645
783,3707.921789547751
784,3677.8675936175
785,3627.4675445747534
786,3597.0214507025
787,3655.643378651751
788,3619.159483575498
789,3611.16505975575
790,3605.604956362997
791,3553.295369136248
792,3533.675848896501
793,3582.2031922345004
794,3518.7926798304993
795,3494.343288480501
796,3500.4469870310018
797,3519.0382055940004
798,3523.239624966
799,3555.573605819752
800,3636.6965818775016
801,3578.4582046947507
802,3542.682104337
803,3543.3345566377498
804,3549.637144648
805,3557.1221208054985
806,3564.0817730730005
807,3558.2606102327504
808,3556.7423140897517
809,3558.701936006751
810,3566.5418791685006
811,3646.7638754042487
812,3650.794335420249
813,3660.3109970222486
814,3658.385782267502
815,3605.8780452410006
816,3595.632692697248
817,3575.789748409999
818,3564.113901729499
819,3571.4058355889983
820,3579.7552482162496
821,3604.1970011937497
822,3624.1908665015008
823,3642.5291842469996
824,3708.994425831751
825,3653.1205590917502
