hour_index,total_pv_kW,total_load_kW,net_generation_kW,pv_to_load_ratio
4335,1119.08613671875,1161.984626861,-42.89849014225001,0.9630817051158256
3351,331.531140625,374.88708749325,-43.355946868250044,0.8843493169036397
6853,299.182873046875,342.91751484425,-43.73464179737499,0.8724630828795609
5411,1024.7965898437499,1068.68518961025,-43.88859976650019,0.9589321521883927
5242,784.668796875,828.8696395072501,-44.2008426322501,0.9466733470836257
5986,796.86284375,841.1530522937501,-44.290208543750055,0.9473458375139692
7840,479.77150195312504,524.2687622955,-44.49726034237494,0.9151250952609312
4762,832.2363203125,876.78655821025,-44.55023789774998,0.9491891858631161
3345,222.1165537109375,267.0495947305,-44.93304101956252,0.8317427072051895
8416,500.289095703125,545.48586037825,-45.196764675124996,0.9171440199001148
3349,309.437833984375,354.64974726825,-45.21191328387499,0.8725167168321868
993,255.3232392578125,301.19242935575,-45.86919009793749,0.8477080216001457
3858,436.623951171875,482.9411720105,-46.31722083862502,0.9040934498297207
15,558.700134765625,605.6580315675,-46.957896801874995,0.9224679682645147
1650,240.4731396484375,288.192046943,-47.718907294562484,0.8344197605896448
4481,731.03396875,779.0539499845,-48.01998123450005,0.9383611594886123
2490,295.219916015625,344.1683236355,-48.948407619874956,0.8577777060927527
5458,814.494046875,863.78883585875,-49.29478898374998,0.9429318973801338
4137,597.4536484375,647.743228759,-50.28958032150001,0.9223618572745086
3779,1155.42498828125,1205.89547884775,-50.47049056649985,0.9581468772294659
6063,925.07921484375,975.8701802639999,-50.790965420249904,0.9479531525858668
5434,823.3346054687499,874.3289007845,-50.99429531575004,0.9416760715427902
2844,212.81942578125,263.9832090515,-51.16378327025001,0.8061854605818736
6587,764.8196640625,816.115164801,-51.29550073849998,0.9371467362842663
1093,621.761365234375,673.45936253125,-51.69799729687497,0.9232351629565306
3824,387.508703125,439.48764392875,-51.97894080374999,0.8817283206853817
2151,268.4326044921875,320.61616221325,-52.18355772106247,0.837239775443405
6353,484.27620703125,536.72024021525,-52.44403318399998,0.9022879516053738
4693,788.9469921875,841.6226231554999,-52.67563096799995,0.9374118156330984
4931,947.33025,1000.0070124497499,-52.67676244974996,0.9473236059934924
4695,858.8532109375,911.6129625575,-52.75975162000009,0.9421248328741298
5080,819.53600390625,872.4279550702499,-52.89195116399992,0.9393738453748713
5895,1059.2874921875,1112.44938126625,-53.16188907874994,0.9522118570730381
4599,1106.381265625,1159.709620003,-53.328354378000085,0.9540157687647034
1385,521.806787109375,575.605265204,-53.79847809462501,0.9065358115129574
4743,1018.6731132812499,1072.5207445405,-53.847631259249965,0.9497933886284751
3129,669.74912890625,723.61616693975,-53.867038033499966,0.9255585468925218
7330,641.3185390625,695.40383622975,-54.08529716725002,0.922224619319463
2297,398.89750000000004,453.2793073875,-54.381807387499975,0.8800258309143686
5943,1022.0400039062499,1076.656784544,-54.616780637750026,0.949271873478089
1066,600.11238671875,655.64631402175,-55.53392730299993,0.9152989545877983
2919,1023.8344179687499,1079.43326672975,-55.598848761,0.948492554914548
1674,193.63825390625,249.4605499775,-55.82229607125001,0.7762279572761591
2168,222.07325976562498,277.90866632875003,-55.83540656312505,0.7990872033614016
7570,612.57734375,668.4370504175,-55.85970666750006,0.916432358815175
4407,1133.1067734375,1189.2135199704999,-56.10674653299998,0.952820291273503
2823,290.0231904296875,346.75194662975,-56.72875620006255,0.8363996003833969
8080,490.468453125,547.325018501,-56.85656537600005,0.896119189968994
5772,861.77397265625,919.0804587785,-57.30648612225002,0.937648019264754
3971,1096.6886132812501,1154.0303119635,-57.3416986822499,0.9503117907405751
1482,243.82797265625,301.2500667865,-57.422094130249974,0.8093872789733418
4670,516.86906640625,574.4523072595,-57.583240853250004,0.89975975198408
4546,844.6576210937501,902.32522236175,-57.667601267999885,0.9360900030554943
7881,224.5298525390625,282.35028668075,-57.820434141687514,0.7952173677008455
761,438.498955078125,496.37219071325,-57.87323563512501,0.8834075768117206
638,259.7812236328125,317.95722708425,-58.17600345143751,0.8170319800497743
7721,213.1071826171875,271.30790224,-58.20071962281247,0.7854809243381019
2171,227.621923828125,285.9725401625,-58.35061633437502,0.79595727234099
2148,260.0634873046875,319.54650390775,-59.48301660306248,0.8138517658948119
3424,1003.1778984375,1062.69858693075,-59.52068849325008,0.9439909959707891
4352,365.00791015625,424.70275431825,-59.69484416200004,0.8594432354994546
8605,592.77673046875,653.035364806,-60.25863433724999,0.9077253109211374
5315,885.39484765625,946.1931816775,-60.79833402124996,0.9357442685761007
1094,565.507283203125,626.34753969575,-60.84025649262503,0.9028650173591432
1594,603.1096875,664.25952699025,-61.14983949025009,0.9079428477672545
7282,628.1215234375,689.29374912925,-61.1722256917501,0.9112537627386297
2457,617.1762539062499,678.68516396575,-61.50891005950007,0.9093704795174002
137,285.3438017578125,347.16984495275,-61.82604319493748,0.8219141295947919
2363,592.185171875,654.0366046675,-61.85143279249996,0.9054312354132299
2250,336.00465625,397.9115920665,-61.90693581650004,0.8444203740348073
7049,202.665232421875,264.78675906425,-62.12152664237502,0.7653903555173932
7594,594.361765625,656.81030871475,-62.448543089750046,0.9049214922998526
7857,260.6640078125,323.23679194575,-62.57278413324997,0.8064181228782585
7786,588.5939609375,651.7725052740001,-63.17854433650007,0.9030665688896974
4145,638.57575,702.0653111727501,-63.489561172750086,0.9095674418434622
4715,981.6060273437499,1045.2834614775,-63.67743413375001,0.9390811799673711
4643,1072.0867109375,1136.0058976235,-63.9191866860001,0.9437334015928516
3329,500.30819140625,564.25912753975,-63.95093613350002,0.8866638856175901
5249,662.10073828125,726.33597390175,-64.23523562050002,0.9115626392742161
2370,324.75756640625,389.3515465415,-64.59398013524998,0.8340985632569881
8604,599.506994140625,664.18442039675,-64.67742625612505,0.902621282323799
2819,244.18268261718748,308.93795771875,-64.75527510156252,0.7903939147843136
3635,1097.7524296875,1162.593222321,-64.84079263350009,0.944227445736971
2817,226.18559765625,291.09563588125,-64.91003822500002,0.7770147298652933
2129,403.339455078125,468.59296262325,-65.25350754512499,0.8607458634449556
2843,191.0155,256.29051962075,-65.27501962074999,0.7453084863901707
5891,1025.02266015625,1090.5097734945,-65.48711333825008,0.9399481638130145
2433,609.512837890625,675.23401527875,-65.72117738812506,0.9026690350253415
3256,961.6458125,1027.51856587725,-65.87275337724998,0.9358914218188338
7619,601.132380859375,667.073309355,-65.94092849562503,0.9011489015194853
6611,1010.00458203125,1076.1283740445,-66.12379201325007,0.9385539917479494
